pickup,drop,timestamp,hour,day_of_week,is_weekend,distance_km,avg_duration_mins,base_fare,surge_multiplier,current_price,is_peak_hour,is_rain,hour_sin,hour_cos,day_sin,day_cos,surge_lag_1,surge_lag_2,surge_lag_3,surge_rolling_3h,surge_rolling_12h
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-12 14:14:16.089481,14,6,True,17.741,43.63333333333333,150,1.9,285,False,0,-0.6310879443260528,-0.7757112907044198,-2.4492935982947064e-16,1.0,1.5,1.4,1.1,1.5999999999999999,2.3
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-12 15:14:16.089481,15,6,True,17.741,43.63333333333333,150,1.5,225,False,0,-0.816969893010442,-0.5766803221148672,-2.4492935982947064e-16,1.0,1.9,1.5,1.4,1.6333333333333335,2.3
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-12 16:14:16.089481,16,6,True,17.741,43.63333333333333,150,1.1,165,False,1,-0.9422609221188204,-0.3348796121709864,-2.4492935982947064e-16,1.0,1.5,1.9,1.5,1.5,2.3
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-12 17:14:16.089481,17,6,True,17.741,43.63333333333333,150,2.0,300,True,0,-0.9976687691905393,-0.06824241336467046,-2.4492935982947064e-16,1.0,1.1,1.5,1.9,1.5333333333333332,2.3
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-12 18:14:16.089481,18,6,True,17.741,43.63333333333333,150,4.1,615,True,0,-0.979084087682323,0.2034560130526333,-2.4492935982947064e-16,1.0,2.0,1.1,1.5,2.4,4.1
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-12 19:14:16.089481,19,6,True,17.741,43.63333333333333,150,2.4,360,True,0,-0.8878852184023756,0.4600650377311516,-2.4492935982947064e-16,1.0,4.1,2.0,1.1,2.8333333333333335,4.1
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-12 20:14:16.089481,20,6,True,17.741,43.63333333333333,150,2.0,300,True,0,-0.730835964278124,0.6825531432186541,-2.4492935982947064e-16,1.0,2.4,4.1,2.0,2.8333333333333335,4.1
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-12 21:14:16.089481,21,6,True,17.741,43.63333333333333,150,1.8,270,True,0,-0.5195839500354336,0.8544194045464886,-2.4492935982947064e-16,1.0,2.0,2.4,4.1,2.066666666666667,4.1
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-12 22:14:16.089481,22,6,True,17.741,43.63333333333333,150,1.4,210,False,0,-0.2697967711570252,0.962917287347799,-2.4492935982947064e-16,1.0,1.8,2.0,2.4,1.7333333333333334,4.1
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-12 23:14:16.089481,23,6,True,17.741,43.63333333333333,150,1.2,180,False,0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,1.4,1.8,2.0,1.4666666666666668,4.1
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-13 00:14:16.089481,0,0,False,17.741,43.63333333333333,150,2.3,345,False,0,0.0,1.0,0.0,1.0,1.2,1.4,1.8,1.6333333333333335,4.1
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-13 01:14:16.089481,1,0,False,17.741,43.63333333333333,150,1.0,150,False,0,0.2697967711570243,0.9629172873477994,0.0,1.0,2.3,1.2,1.4,1.5,4.1
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-13 02:14:16.089481,2,0,False,17.741,43.63333333333333,150,1.0,150,False,1,0.5195839500354336,0.8544194045464886,0.0,1.0,1.0,2.3,1.2,1.4333333333333333,4.1
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-13 03:14:16.089481,3,0,False,17.741,43.63333333333333,150,1.0,150,False,0,0.730835964278124,0.6825531432186541,0.0,1.0,1.0,1.0,2.3,1.0,4.1
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-13 04:14:16.089481,4,0,False,17.741,43.63333333333333,150,1.0,150,False,0,0.8878852184023752,0.4600650377311522,0.0,1.0,1.0,1.0,1.0,1.0,4.1
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-13 05:14:16.089481,5,0,False,17.741,43.63333333333333,150,1.0,150,False,0,0.9790840876823229,0.20345601305263375,0.0,1.0,1.0,1.0,1.0,1.0,4.1
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-13 06:14:16.089481,6,0,False,17.741,43.63333333333333,150,1.0,150,False,0,0.9976687691905392,-0.06824241336467088,0.0,1.0,1.0,1.0,1.0,1.0,2.4
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-13 07:14:16.089481,7,0,False,17.741,43.63333333333333,150,3.2,480,True,0,0.9422609221188205,-0.33487961217098616,0.0,1.0,1.0,1.0,1.0,1.7333333333333334,3.2
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-13 08:14:16.089481,8,0,False,17.741,43.63333333333333,150,2.0,300,True,0,0.8169698930104421,-0.5766803221148671,0.0,1.0,3.2,1.0,1.0,2.066666666666667,3.2
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-13 09:14:16.089481,9,0,False,17.741,43.63333333333333,150,2.1,315,True,1,0.631087944326053,-0.7757112907044197,0.0,1.0,2.0,3.2,1.0,2.4333333333333336,3.2
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-13 10:14:16.089481,10,0,False,17.741,43.63333333333333,150,1.9,285,True,0,0.3984010898462414,-0.917211301505453,0.0,1.0,2.1,2.0,3.2,2.0,3.2
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-13 11:14:16.089481,11,0,False,17.741,43.63333333333333,150,1.0,150,False,0,0.1361666490962471,-0.9906859460363306,0.0,1.0,1.9,2.1,2.0,1.6666666666666667,3.2
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-13 12:14:16.089481,12,0,False,17.741,43.63333333333333,150,1.0,150,False,0,-0.1361666490962464,-0.9906859460363308,0.0,1.0,1.0,1.9,2.1,1.3,3.2
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-13 13:14:16.089481,13,0,False,17.741,43.63333333333333,150,1.0,150,False,0,-0.39840108984624156,-0.9172113015054529,0.0,1.0,1.0,1.0,1.9,1.0,3.2
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-13 14:14:16.089481,14,0,False,17.741,43.63333333333333,150,1.0,150,False,0,-0.6310879443260528,-0.7757112907044198,0.0,1.0,1.0,1.0,1.0,1.0,3.2
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-13 15:14:16.089481,15,0,False,17.741,43.63333333333333,150,1.0,150,False,0,-0.816969893010442,-0.5766803221148672,0.0,1.0,1.0,1.0,1.0,1.0,3.2
"Whitefield, Bengaluru, India","Koramangala, Bengaluru, India",2025-01-13 16:14:16.089481,16,0,False,17.741,43.63333333333333,150,1.0,150,False,0,-0.9422609221188204,-0.3348796121709864,0.0,1.0,1.0,1.0,1.0,1.0,3.2
